Id,SalePrice
1461,122637.59916636141
1462,150653.7641194878
1463,169720.18567569557
1464,178308.54763689986
1465,203005.61105796884
1466,184717.66563988623
1467,159503.68177623686
1468,174576.38418647918
1469,188261.97453866043
1470,121651.96191790231
1471,199591.12498654865
1472,92107.98710508947
1473,95281.38925243789
1474,157342.93912306963
1475,145817.23291027689
1476,396420.46898090205
1477,254619.7351661111
1478,297506.60764294956
1479,243695.27969502506
1480,426145.121151711
1481,335926.6655848331
1482,200125.08826216214
1483,172556.2046696602
1484,172631.63834810315
1485,178446.21500311428
1486,197864.14134236355
1487,360558.78662061214
1488,218843.25906536364
1489,219234.75032565964
1490,193383.1600737752
1491,193441.0942810589
1492,93505.99463579246
1493,165662.3925247385
1494,303568.3425807916
1495,274109.18357417156
1496,224276.4235840457
1497,191040.87201112777
1498,151988.47915930877
1499,152564.91910696836
1500,145967.69367988128
1501,169808.63342198057
1502,158029.39025827622
1503,238477.31357430454
1504,226690.26114026428
1505,216698.90728447482
1506,157785.7340714601
1507,199038.12307161532
1508,184938.8921934566
1509,157444.8263242264
1510,151575.1839653923
1511,151454.46193343916
1512,155112.56743897946
1513,148603.20969659265
1514,170616.15705858535
1515,170630.19553343207
1516,161474.38852426523
1517,142867.29252968382
1518,130750.80621895545
1519,224275.79960635645
1520,137918.5637747115
1521,142795.29483281725
1522,151874.24574528416
1523,115072.9045441372
1524,122236.31763129766
1525,127831.8210332892
1526,127393.29857398952
1527,98142.74226463978
1528,129617.2896779856
1529,146375.98772307468
1530,169353.33232918035
1531,122844.34851773283
1532,104481.69135524354
1533,142101.13277798946
1534,112884.4699820935
1535,142615.21867829893
1536,108777.33397877321
1537,63159.536617155405
1538,167392.08411402002
1539,184397.03748811298
1540,111987.40012268563
1541,151703.6983894528
1542,149191.52280097906
1543,223936.4327403323
1544,75221.47815851132
1545,101233.60537814994
1546,114110.45679937821
1547,143085.7103075572
1548,135909.11944575876
1549,105054.05105778732
1550,145066.90982545292
1551,115141.8264920366
1552,142507.38941548776
1553,144461.5955623604
1554,113924.11019553631
1555,150319.63842078912
1556,93777.03421815071
1557,127544.63133002364
1558,86834.29465753284
1559,107734.42186278151
1560,149647.8062954254
1561,148245.66822977146
1562,123297.29872056513
1563,123839.64667924619
1564,159631.716979137
1565,154294.5216678453
1566,241588.12190612266
1567,80916.26771081981
1568,219998.29917694317
1569,127813.33141770345
1570,128114.25397829244
1571,127885.79117512357
1572,145986.1940495841
1573,243051.01398766035
1574,102918.75512593318
1575,212905.79014529294
1576,195749.73678150153
1577,208780.9809637588
1578,161587.49483996187
1579,142302.264780793
1580,195979.602684579
1581,135277.56803632004
1582,126727.21284095322
1583,317851.5523969527
1584,225846.61707005248
1585,138807.6540313786
1586,59493.82985883833
1587,105118.50917329063
1588,150448.90476575043
1589,96294.44059202938
1590,132740.5314437184
1591,111937.06411318689
1592,111433.27441015521
1593,119218.74218092076
1594,126392.57586828739
1595,123678.92063521901
1596,230319.56299785568
1597,169642.8943161623
1598,188363.13437130174
1599,195934.52297815698
1600,193263.4329854287
1601,71294.98006368897
1602,100333.68808018178
1603,89602.5761661483
1604,285566.8327559794
1605,257317.42134867134
1606,165581.93178060095
1607,150785.5447164309
1608,210883.80416993366
1609,205988.56377804556
1610,154924.34822867377
1611,143179.89685786382
1612,147620.88815138975
1613,153934.9693134058
1614,117922.40577179838
1615,80582.45121809465
1616,77415.8024103484
1617,81285.80792657073
1618,126136.31520738576
1619,122161.21561823897
1620,160080.93048015903
1621,134877.82070708915
1622,141709.1437255792
1623,281360.1573838314
1624,215586.31942565306
1625,128756.26358580259
1626,158979.80681536614
1627,179040.66877560518
1628,276318.3621272136
1629,178910.79886703874
1630,317236.89417789935
1631,219713.02580362227
1632,262453.7554186036
1633,173290.90881789257
1634,177678.65013259978
1635,174590.8235235061
1636,160038.51074987042
1637,171800.6799336668
1638,215701.6161522794
1639,176141.32513226528
1640,261286.05439063508
1641,177789.98262515618
1642,216672.00230299943
1643,225213.2489672797
1644,230429.20843912824
1645,165788.9157618454
1646,150120.26511135165
1647,160512.0503127213
1648,144552.2634703471
1649,134483.79276026465
1650,124417.11820107783
1651,126812.20571607313
1652,95317.20440805523
1653,95185.55563871875
1654,156294.15448264722
1655,153088.8595072869
1656,149572.31223499234
1657,157056.4059419922
1658,157612.27131220128
1659,145729.84316690877
1660,141350.42442716248
1661,462310.7110053669
1662,390725.61283551576
1663,360876.68241266254
1664,424346.3391554767
1665,316356.3713733221
1666,332853.7673452968
1667,374909.90787404805
1668,326742.9365897895
1669,304979.4235458765
1670,341150.09263432556
1671,264603.8978847521
1672,471435.24488018063
1673,297536.062313309
1674,257325.50026514695
1675,178601.32513099126
1676,179792.7993096979
1677,218638.811665439
1678,451657.15064933535
1679,350938.0255735177
1680,295082.63913087186
1681,238063.29364916493
1682,311977.17157622037
1683,189148.49155315844
1684,170670.02340846884
1685,171919.60487684957
1686,171004.18486645713
1687,180556.82455317504
1688,189197.36775526256
1689,188992.46542168822
1690,183681.96973773852
1691,172374.0926865671
1692,257920.4974741338
1693,171585.26598819226
1694,181601.79012363552
1695,171208.71803137127
1696,284524.33514513145
1697,172112.60239161763
1698,349985.91828807286
1699,329327.52943648834
1700,247246.30310513277
1701,262387.86056167044
1702,260860.69010352137
1703,254281.93224642324
1704,283696.4786699865
1705,216994.54356700036
1706,469271.2291246839
1707,216148.65931621048
1708,221608.45864606905
1709,290673.82286615676
1710,215320.21455277095
1711,270062.95614386717
1712,241086.02875717854
1713,262477.47137479694
1714,210111.48819403653
1715,204557.8751713539
1716,178060.141157858
1717,171740.97209912224
1718,127941.1951296572
1719,210408.27943330826
1720,255568.5387020207
1721,169022.45998485567
1722,122140.94099977215
